score,num,name
6.7,350,Hôtel d'Angleterre Champs Elysee
8.2,56,Golden Tulip Washington Opera
8.7,185,Hôtel Duc De St-Simon
8.0,344,Hôtel de Notre-Dame
7.9,340,Eurostars Panorama Hotel
8.2,173,Hôtel Mayfair Paris
6.6,530,Hotel Paris Bruxelles
7.5,1084,Campanile Paris 11 -Bastille
7.9,258,Moris Grands Boulevards
7.1,209,Villa Lutèce Port Royal
6.8,169,Opéra Vivaldi
7.9,111,Hôtel Eber Mars
7.3,140,Adagio Paris Haussmann
8.4,239,Best Western Hôtel Marais Bastille
8.7,137,Hôtel Georgette
7.0,56,Hotel de l'Avenir
7.0,850,Kyriad Paris 10 - Gare du Nord
8.5,279,Best Western Le Jardin de Cluny
7.8,305,Apollinaire
7.2,194,Villa Luxembourg
9.4,11,Hotel Sydney Opera
8.8,177,Hotel Maison FL
8.2,270,Le Pavillon Bastille
6.5,298,Hotel Richmond
8.6,310,Hotel Muguet
7.8,175,Hôtel Des Trois Gares
7.2,554,Timhotel Opera Madeleine
7.8,192,Citadines République Paris
7.5,162,Golden Tulip Little Palace
8.2,398,Hôtel du Levant
7.4,655,Timhotel Le Louvre
7.5,592,Hotel Little Regina
6.6,501,Unic Renoir Saint Germain
9.3,81,Résidence Alma Marceau
7.3,379,Hôtel Royal Opéra
6.9,297,Hôtel De La Herse d'Or
6.9,547,New Hôtel Gare Du Nord
8.2,179,Hôtel Bourgogne & Montana
8.7,29,Hotel Villa Saxe Eiffel
7.8,402,Hotel B Square
8.3,96,Hôtel Melia Colbert
7.0,951,Tipi
7.9,198,Hotel Danemark
8.3,269,Sofitel Paris Le Faubourg
7.3,247,Hotel Pavillon Opera
7.8,203,Citadines Place d'Italie Paris
8.4,301,Hôtel De La Paix Montparnasse
7.6,225,Opera Maintenon
7.2,502,Hôtel Sainte-Marie
8.1,108,Bellechasse Saint-Germain
6.5,204,Hôtel Renoir Saint-Germain
7.0,154,Hotel Suites Unic Renoir Saint-Germain
5.9,193,Hôtel Lebron
7.8,92,Hôtel du Rond-Point des Champs-Elysees
7.7,157,Hôtel Du Vieux Saule
6.5,487,Hôtel Royal Bastille
7.1,1313,Altona
8.2,227,Mithouard Apartments
8.2,243,Eiffel Trocadéro
8.1,111,Hôtel Molière
8.1,84,Hotel Peyris Opera
8.6,132,Hotel d'Angleterre
8.0,475,Waldorf Montparnasse
7.9,274,Hotel de France Invalides
8.4,295,Hôtel Arvor Saint Georges
6.0,204,Grand Hôtel du Havre
5.0,293,Hotel Montana
6.3,424,Hôtel Maubeuge Gare du Nord
7.3,490,Hôtel Le Compostelle
7.9,449,Odessa Montparnasse
8.7,478,Pullman Paris Bercy
7.2,540,Royal Aboukir Paris
8.2,1066,Mercure Paris Montmartre Sacré Coeur
7.3,450,Miramar
7.0,380,Le Clery
8.6,208,Millésime Hôtel
8.0,141,Hôtel Hélios Opéra
8.0,182,Hotel Châteaudun Opéra
6.9,306,Trianon Gare de Lyon
7.1,368,Hotel De Senlis
7.9,171,Hotel Le Petit Belloy Saint Germain
8.1,297,Hotel De Suez
8.4,143,Hôtel Gabriel Paris Marais
7.2,404,Comfort Hotel Gare De L'Est - Paris 10
8.9,130,Le Relais Saint Honoré
7.5,830,Hôtel Mimosa
7.3,385,Hôtel Les Gobelins
8.0,196,Edouard VI Montparnasse
7.9,411,Hotel Viator - Gare de Lyon
7.4,169,Best Western Plaza Elysées
8.5,194,Seven Hotel
6.7,677,Hôtel Aladin
7.4,29,Hôtel du 7e Art
8.2,413,Hotel Majestic Paris
7.4,73,Victoires Opera
8.2,203,Hotel Saint Christophe
8.2,159,Hotel Lumen Paris Louvre
6.8,911,Grand Hôtel De L'Europe
8.5,285,Hôtel Thérèse
6.2,1091,Hipotel Paris Voltaire Bastille
8.3,480,Hotel Cujas Pantheon
8.0,251,Le Notre Dame Saint Michel
6.4,669,Hotel Excelsior
8.4,1075,Hôtel Eiffel Turenne
7.7,259,Hôtel Acte V
7.8,387,Hotel de la Paix
7.0,396,Timhotel Jardin des Plantes
8.9,540,Hôtel Galileo
7.5,134,Hotel Aida Marais
7.3,812,The Element Hôtel
7.6,650,ibis Styles Paris Gare de l'Est Château Landon
6.8,279,Hotel d'Amiens
6.3,115,Hôtel Saint Sébastien
8.6,134,Hotel Parc Saint Severin
7.9,60,Hotel Montalembert
7.5,683,Camelia
8.1,376,Hotel Cardinal Rive Gauche
7.3,461,Qualys Hotel Carlton's Montmartre
7.9,240,Hôtel des 3 Collèges
8.2,373,Paris Bastille
6.9,322,Hotel Beausejour
8.0,340,Novotel Paris Bercy
8.1,24,Suites Albany & Spa
7.9,306,Hotel Du Quai Voltaire
8.1,377,Amélie
8.1,271,Midnight Hotel Paris
7.4,501,Sofia
8.7,83,Hôtel Crayon by Elegancia
7.1,1372,Est Hotel
8.9,292,Hotel Relais Bosquet
7.2,717,Prince Albert Opéra
8.5,122,Le 7 Eiffel Hotel
6.7,134,Hôtel Mazagran
9.1,79,Hôtel Keppler
8.5,33,K+K Hôtel Cayré Saint Germain des Prés
8.2,330,Hôtel Kleber Champs-Elysées Tour-Eiffel Paris
7.7,529,Hôtel Saint Pierre
7.9,198,Mayflower
7.6,316,Hotel d'Enghien
8.8,152,Arès Tour Eiffel
7.7,734,Hôtel de France Quartier Latin
8.3,63,Villa d'Estrées
7.7,29,Hôtel Saint Vincent
